"Movie ID","Byte Length","Stub v/s Not Stub",,,
730,16248,"Generic",,,
731,44221,"Generic",,,
732,8992,"Generic",,,
733,21917,"Generic",,,
734,24438,"Generic",,,
735,10134,"Generic",,,
736,8711,"Generic",,,
737,23431,"Generic",,,
738,16205,"Generic",,,
739,7739,"Generic",,,
740,10266,"Generic",,,
741,12396,"Generic",,,
742,8059,"Generic",,,
743,34286,"Generic",,,
744,26540,"Generic",,,
745,37959,"Generic",,,
746,27108,"Generic",,,
747,9964,"Generic",,,
748,26755,"Generic",,,
749,16342,"Generic",,,
750,9661,"Generic",,,
751,10036,"Generic",,,
752,25955,"Generic",,,
753,5122,"Generic",,,
754,10618,"Generic",,,
755,11954,"Generic",,,
756,11035,"Generic",,,
757,14597,"Generic",,,
758,6126,"Generic",,,
759,9953,"Generic",,,
760,12739,"Generic",,,
761,14868,"Generic",,,
762,15245,"Generic",,,
763,12161,"Generic",,,
764,7442,"Generic",,,
765,17157,"Generic",,,
766,9001,"Generic",,,
767,8766,"Generic",,,
768,10746,"Generic",,,
769,8408,"Generic",,,
770,10957,"Generic",,,
771,15104,"Generic",,,
772,12338,"Generic",,,
773,8813,"Generic",,,
774,9533,"Generic",,,
775,7986,"Generic",,,
776,6800,"Generic",,,
777,6958,"Generic",,,
778,11998,"Generic",,,
779,7741,"Generic",,,
780,9254,"Generic",,,
781,8369,"Generic",,,
782,8071,"Generic",,,
783,8979,"Generic",,,
784,13555,"Generic",,,
785,9780,"Generic",,,
786,13583,"Generic",,,
787,6763,"Generic",,,
788,7762,"Generic",,,
789,7947,"Generic",,,
790,12453,"Generic",,,
791,7252,"Generic",,,
792,13481,"Generic",,,
793,10208,"Generic",,,
794,6945,"Generic",,,
795,8128,"Generic",,,
796,7370,"Generic",,,
797,10067,"Generic",,,
798,7193,"Generic",,,
799,9641,"Generic",,,
800,8353,"Generic",,,
801,6410,"Generic",,,
802,10694,"Generic",,,
803,10569,"Generic",,,
804,6989,"Generic",,,
805,9101,"Generic",,,
806,10901,"Generic",,,
807,9244,"Generic",,,
808,8998,"Generic",,,
809,9471,"Generic",,,
810,7730,"Generic",,,
811,10262,"Generic",,,
812,11379,"Generic",,,
813,8057,"Generic",,,
814,7869,"Generic",,,
815,10688,"Generic",,,
816,8572,"Generic",,,
817,6288,"Generic",,,
818,7678,"Generic",,,
819,8275,"Generic",,,
820,9821,"Generic",,,
821,7165,"Generic",,,
822,7242,"Generic",,,
823,9203,"Generic",,,
824,6554,"Generic",,,
825,6986,"Generic",,,
826,6805,"Generic",,,
827,7772,"Generic",,,
828,9500,"Generic",,,
829,7478,"Generic",,,
830,6549,"Generic",,,
831,9588,"Generic",,,
832,7229,"Generic",,,
833,9185,"Generic",,,
834,7932,"Generic",,,
835,8838,"Generic",,,
836,8541,"Generic",,,
837,7347,"Generic",,,
838,7618,"Generic",,,
839,7710,"Generic",,,
840,8635,"Generic",,,
841,7384,"Generic",,,
842,6934,"Generic",,,
843,8666,"Generic",,,
844,7456,"Generic",,,
845,6663,"Generic",,,
846,8747,"Generic",,,
847,12423,"Generic",,,
848,18205,"Generic",,,
849,8765,"Generic",,,
850,8159,"Generic",,,
851,7378,"Generic",,,
852,15393,"Generic",,,
853,12035,"Generic",,,
854,11890,"Generic",,,
855,46510,"Generic",,,
856,13766,"Generic",,,
857,56660,"Generic",,,
858,11080,"Generic",,,
859,32634,"Generic",,,
860,18464,"Generic",,,
861,12926,"Generic",,,
862,24651,"Generic",,,
863,74468,"Generic",,,
864,17124,"Generic",,,
865,28846,"Generic",,,
866,18881,"Generic",,,
867,7806,"Generic",,,
868,25549,"Generic",,,
869,40015,"Generic",,,
870,58688,"Generic",,,
871,20688,"Generic",,,
872,14834,"Generic",,,
873,37350,"Generic",,,
874,4835,"Stub",,,
875,33377,"Generic",,,
876,18643,"Generic",,,
877,20138,"Generic",,,
878,14714,"Generic",,,
879,14375,"Generic",,,
880,20881,"Generic",,,
881,12174,"Generic",,,
882,10533,"Generic",,,
883,10191,"Generic",,,
884,21731,"Generic",,,
885,16739,"Generic",,,
886,36331,"Generic",,,
887,21765,"Generic",,,
888,29754,"Generic",,,
889,13692,"Generic",,,
890,34903,"Generic",,,
891,37602,"Generic",,,
892,12868,"Generic",,,
893,22194,"Generic",,,
894,9997,"Generic",,,
895,77856,"Generic",,,
896,15723,"Generic",,,
897,22934,"Generic",,,
898,15608,"Generic",,,
899,27979,"Generic",,,
900,29311,"Generic",,,
901,17862,"Generic",,,
902,5757,"Generic",,,
903,7148,"Generic",,,
904,50238,"Generic",,,
905,8005,"Generic",,,
906,25304,"Generic",,,
907,42437,"Generic",,,
908,8640,"Generic",,,
909,10486,"Generic",,,
910,18446,"Generic",,,
911,24797,"Generic",,,
912,19378,"Generic",,,
913,45200,"Generic",,,
914,53365,"Generic",,,
915,17973,"Generic",,,
916,47252,"Generic",,,
917,11815,"Generic",,,
918,13093,"Generic",,,
919,42217,"Generic",,,
920,10008,"Generic",,,
921,53846,"Generic",,,
922,15083,"Generic",,,
923,12305,"Generic",,,
924,9803,"Generic",,,
925,20144,"Generic",,,
926,10455,"Generic",,,
927,7361,"Generic",,,
928,9593,"Generic",,,
929,10097,"Generic",,,
930,5908,"Generic",,,
931,26812,"Generic",,,
932,10901,"Generic",,,
933,11683,"Generic",,,
934,24921,"Generic",,,
935,12167,"Generic",,,
936,15010,"Generic",,,
937,6460,"Generic",,,
938,8244,"Generic",,,
939,19073,"Generic",,,
940,10978,"Generic",,,
941,11425,"Generic",,,
942,7239,"Generic",,,
943,10251,"Generic",,,
944,13361,"Generic",,,
945,7680,"Generic",,,
946,50433,"Generic",,,
947,17727,"Generic",,,
948,7446,"Generic",,,
949,23216,"Generic",,,
950,10605,"Generic",,,
951,48875,"Generic",,,
952,8421,"Generic",,,
953,14805,"Generic",,,
954,10667,"Generic",,,
955,8121,"Generic",,,
956,14152,"Generic",,,
957,21246,"Generic",,,
958,11264,"Generic",,,
959,6146,"Generic",,,
960,17549,"Generic",,,
961,7581,"Generic",,,
962,7644,"Generic",,,
963,7408,"Generic",,,
964,17412,"Generic",,,
965,8437,"Generic",,,
966,17298,"Generic",,,
967,9136,"Generic",,,
968,9172,"Generic",,,
969,7720,"Generic",,,
970,11362,"Generic",,,
971,13649,"Generic",,,
972,9420,"Generic",,,
973,9519,"Generic",,,
974,11047,"Generic",,,
975,7140,"Generic",,,
976,12524,"Generic",,,
977,7217,"Generic",,,
978,11289,"Generic",,,
979,13940,"Generic",,,
980,8640,"Generic",,,
981,12279,"Generic",,,
982,6690,"Generic",,,
983,11627,"Generic",,,
984,7696,"Generic",,,
985,10906,"Generic",,,
986,14015,"Generic",,,
987,9164,"Generic",,,
988,16463,"Generic",,,
989,10085,"Generic",,,
990,12952,"Generic",,,
991,9518,"Generic",,,
992,22988,"Generic",,,
993,6144,"Generic",,,
994,20538,"Generic",,,
995,11335,"Generic",,,
996,7033,"Generic",,,
997,11209,"Generic",,,
998,7133,"Generic",,,
999,7746,"Generic",,,
1000,7829,"Generic",,,
1001,8898,"Generic",,,
1002,13307,"Generic",,,
1003,7558,"Generic",,,
1004,9672,"Generic",,,
1005,9124,"Generic",,,
1006,18601,"Generic",,,
1007,7891,"Generic",,,
1008,6979,"Generic",,,
1009,15571,"Generic",,,
1010,7316,"Generic",,,
1011,7180,"Generic",,,
1012,12713,"Generic",,,
1013,16918,"Generic",,,
1014,7623,"Generic",,,
